YearsExperience,Age,EdLevel,Salary
5.15,32.41,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",78000.0
22.43,36.01,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",250000.0
16.41,35.18,"Other doctoral degree (Ph.D., Ed.D., etc.)",180000.0
0.18999999999999995,23.77,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",115000.0
9.44,25.46,Some college/university study without earning a degree,128000.0
3.58,27.53,"Other doctoral degree (Ph.D., Ed.D., etc.)",145000.0
3.05,34.38,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",70.0
7.54,30.91,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",150000.0
4.72,33.47,Some college/university study without earning a degree,130000.0
9.93,30.03,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",155000.0
14.36,38.68,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",160000.0
7.14,25.5,Some college/university study without earning a degree,75000.0
11.81,36.01,"Other doctoral degree (Ph.D., Ed.D., etc.)",122966.0
8.3,41.34,"Other doctoral degree (Ph.D., Ed.D., etc.)",240000.0
1.3,19.9,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",72000.0
6.7,27.03,"Other doctoral degree (Ph.D., Ed.D., etc.)",95000.0
6.75,29.91,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",250000.0
2.88,31.89,"Other doctoral degree (Ph.D., Ed.D., etc.)",180000.0
14.7,36.16,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",200000.0
12.82,35.13,"Other doctoral degree (Ph.D., Ed.D., etc.)",77000.0
5.61,27.69,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5000.0
9.02,33.34,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",950000.0
6.46,32.37,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",300000.0
1.03,28.22,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",450000.0
4.69,28.4,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5000000.0
10.34,37.8,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",110000.0
11.37,40.71,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3600000.0
3.8600000000000003,27.5,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",113000.0
16.64,39.42,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",130000.0
1.46,24.84,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",450000.0
3.9299999999999997,38.71,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",72000.0
15.379999999999999,37.16,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5750.0
3.34,27.06,"Other doctoral degree (Ph.D., Ed.D., etc.)",147000.0
2.05,18.02,Some college/university study without earning a degree,100000.0
6.47,37.02,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8500000.0
16.13,33.22,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2900.0
2.4,31.69,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",600000.0
3.49,42.05,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",130000.0
8.58,28.04,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",51000.0
5.54,24.31,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20000.0
6.54,28.22,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6000.0
7.53,29.44,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",75000.0
27.58,53.26,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",50000.0
1.87,24.41,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",42000.0
19.94,42.62,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",150000.0
4.3,25.96,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",50000.0
5.71,30.6,"Other doctoral degree (Ph.D., Ed.D., etc.)",46000.0
0.09000000000000008,19.93,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35000.0
6.57,30.38,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",38000.0
10.09,23.83,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",215000.0
6.13,30.61,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14000000.0
10.09,26.31,Some college/university study without earning a degree,265000.0
4.54,28.05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",700000.0
29.36,58.66,"Other doctoral degree (Ph.D., Ed.D., etc.)",4500.0
5.87,33.21,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",43000.0
14.7,37.05,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",214000.0
9.9,29.01,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3800.0
5.27,26.6,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",80000.0
4.35,33.65,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",43500.0
4.390000000000001,34.11,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2300.0
6.19,22.45,"Other doctoral degree (Ph.D., Ed.D., etc.)",94000.0
5.49,43.56,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",139000.0
30.34,45.6,"Associate degree (A.A., A.S., etc.)",147548.0
3.37,30.41,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",200000.0
4.109999999999999,28.11,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11000.0
5.71,31.26,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",45000.0
10.61,38.96,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",85000.0
3.2800000000000002,25.29,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",40000.0
2.35,28.49,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",43000.0
1.68,28.98,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",45000.0
8.45,25.35,"Other doctoral degree (Ph.D., Ed.D., etc.)",45000.0
13.78,38.32,"Other doctoral degree (Ph.D., Ed.D., etc.)",220000.0
1.75,25.92,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",26000.0
3.32,30.76,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",36000.0
5.32,29.62,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",43000.0
6.98,40.08,"Other doctoral degree (Ph.D., Ed.D., etc.)",100000.0
2.92,28.72,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",57000.0
7.3,27.31,"Other doctoral degree (Ph.D., Ed.D., etc.)",40000.0
11.65,33.4,Some college/university study without earning a degree,5000000.0
8.55,27.56,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6025.0
1.7,26.92,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30000.0
